,imdb_rating,n_lines,n_directions,n_speak_char,Angela,Dwight,Jim,Kevin,Michael,Oscar,Pam,Phyllis,Ryan,Stanley,Kelly,Toby,Meredith,Darryl,Creed,Andy,Erin,Charles McDougall,Greg Daniels,Ken Kwapis,Ken Whittingham,Other_director,Paul Feig,B.J. Novak,Gene Stupnitsky;Lee Eisenberg,Greg Daniels,Michael Schur,Other_writer,Paul Lieberstein,pos_score,neg_score
38,8.5,216,30,16,4.0,22.0,25.0,5.0,70.0,0.0,33.0,2.0,0.0,4.0,0.0,7.0,0.0,6.0,0.0,3.0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0.201,0.065
39,8.6,264,18,20,17.0,33.0,39.0,7.0,48.0,0.0,26.0,10.0,8.0,8.0,2.0,0.0,0.0,0.0,0.0,29.0,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0.225,0.087
40,8.8,207,39,20,14.0,25.0,25.0,3.0,48.0,11.0,10.0,3.0,3.0,2.0,0.0,0.0,2.0,0.0,3.0,40.0,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0.231,0.086
41,8.2,257,23,17,4.0,28.0,25.0,2.0,76.0,0.0,30.0,0.0,6.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0.243,0.071
42,8.3,180,20,21,3.0,24.0,19.0,4.0,49.0,0.0,15.0,15.0,0.0,2.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,1,0,0.204,0.079
43,8.8,185,18,23,2.0,22.0,11.0,6.0,45.0,4.0,26.0,0.0,15.0,1.0,9.0,3.0,3.0,0.0,5.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0.193,0.07
44,8.5,290,20,22,1.0,31.0,21.0,8.0,84.0,0.0,22.0,0.0,3.0,0.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0.205,0.121
45,8.9,355,47,19,11.0,18.0,41.0,8.0,104.0,4.0,15.0,4.0,9.0,4.0,14.0,17.0,0.0,43.0,3.0,2.0,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0.174,0.097
46,8.8,290,32,20,1.0,54.0,24.0,16.0,78.0,3.0,19.0,0.0,5.0,2.0,6.0,8.0,0.0,30.0,3.0,18.0,0.0,0,0,0,0,1,0,1,0,0,0,0,0,0.177,0.138
47,8.7,257,45,18,12.0,31.0,46.0,8.0,53.0,6.0,14.0,1.0,2.0,1.0,10.0,0.0,0.0,0.0,8.0,34.0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0.165,0.109
48,8.8,286,72,16,11.0,42.0,31.0,11.0,80.0,0.0,35.0,12.0,5.0,0.0,4.0,7.0,5.0,0.0,6.0,10.0,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0.197,0.08
49,9.1,281,55,18,8.0,38.0,22.0,5.0,105.0,5.0,23.0,1.0,3.0,11.0,9.0,4.0,2.0,0.0,2.0,18.0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0.18,0.098
50,9.3,508,102,19,6.0,60.0,65.0,17.0,118.0,11.0,45.0,4.0,4.0,7.0,3.0,0.0,6.0,0.0,3.0,22.0,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0.223,0.078
51,8.8,487,68,22,44.0,54.0,50.0,17.0,130.0,9.0,81.0,4.0,7.0,9.0,6.0,9.0,18.0,5.0,9.0,7.0,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0.194,0.094
52,8.4,551,108,20,22.0,67.0,41.0,13.0,139.0,3.0,50.0,13.0,78.0,5.0,19.0,18.0,0.0,0.0,10.0,14.0,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0.233,0.063
